timestamp_ms,pixel_height,estimated_distance_cm,confidence
1752076330878,341,27.0968,0.877201
1752076330938,339,27.2566,0.870314
1752076331061,73,126.575,0.747348
1752076331120,335,27.5821,0.826859
1752076331181,334,27.6647,0.755656
1752076331240,75,123.2,0.710976
1752076331300,75,123.2,0.7816
1752076331360,74,124.865,0.692383
1752076331420,74,124.865,0.765988
1752076331480,74,124.865,0.726336
1752076331540,75,123.2,0.776006
1752076331605,75,123.2,0.723821
1752076331664,75,123.2,0.777288
1752076331784,75,123.2,0.765473
1752076331844,335,27.5821,0.77051
1752076331904,74,124.865,0.710127
1752076331964,73,126.575,0.790108
1752076332084,73,126.575,0.773085
1752076332144,74,124.865,0.779083
1752076332324,74,124.865,0.701091
1752076332384,337,27.4184,0.742739
1752076332444,75,123.2,0.684852
1752076332684,340,27.1765,0.813441
1752076332744,343,26.9388,0.881275
1752076332804,346,26.7052,0.861868
1752076332864,354,26.1017,0.8583
1752076332924,354,26.1017,0.865403
1752076333045,347,26.6282,0.875459
1752076333104,345,26.7826,0.696133
1752076333165,351,26.3248,0.863277
1752076333230,74,124.865,0.693227
1752076333288,351,26.3248,0.855474
1752076333348,348,26.5517,0.778653
1752076333408,352,26.25,0.739004
1752076333528,350,26.4,0.822835
1752076333588,352,26.25,0.886921
1752076333648,352,26.25,0.886224
1752076333708,356,25.9551,0.884242
1752076333769,356,25.9551,0.872296
1752076333828,352,26.25,0.870818
1752076333889,358,25.8101,0.815451
1752076334008,355,26.0282,0.754716
1752076334068,345,26.7826,0.78682
1752076334248,344,26.8605,0.810737
1752076334309,344,26.8605,0.720116
1752076334912,178,51.9101,0.667228
1752076335092,333,27.7477,0.889209
1752076335152,327,28.2569,0.880591
1752076335212,320,28.875,0.882469
1752076335272,306,30.1961,0.907564
1752076335333,298,31.0067,0.908876
1752076335392,297,31.1111,0.913334
1752076335452,287,32.1951,0.906521
1752076335512,285,32.4211,0.900353
1752076335572,283,32.6502,0.839368
1752076335632,282,32.766,0.80797
1752076335693,281,32.8826,0.908972
1752076335752,278,33.2374,0.922439
1752076335812,276,33.4783,0.919278
1752076335872,282,32.766,0.920879
1752076335932,281,32.8826,0.917176
1752076335992,281,32.8826,0.91225
1752076336052,278,33.2374,0.906384
1752076336112,283,32.6502,0.912861
1752076336172,281,32.8826,0.898603
1752076336232,284,32.5352,0.912044
1752076336292,288,32.0833,0.916365
1752076336352,288,32.0833,0.91718
1752076336412,288,32.0833,0.916127
1752076336477,294,31.4286,0.886713
1752076336536,296,31.2162,0.898794
1752076336596,300,30.8,0.903793
1752076336656,299,30.903,0.890887
1752076336717,304,30.3947,0.897201
1752076336776,309,29.9029,0.893899
1752076336836,313,29.5208,0.902329
1752076336896,317,29.1483,0.917118
1752076336956,316,29.2405,0.884848
1752076337016,313,29.5208,0.887265
1752076337076,314,29.4268,0.855676
1752076337136,312,29.6154,0.880136
1752076337197,308,30,0.859307
1752076337256,310,29.8065,0.877501
1752076337316,315,29.3333,0.890196
1752076337376,316,29.2405,0.909093
1752076337436,311,29.7106,0.913563
1752076337496,313,29.5208,0.873463
1752076337557,72,128.333,0.694205
1752076337616,73,126.575,0.700104
1752076337796,330,28,0.726297
1752076337856,334,27.6647,0.862187
1752076337916,333,27.7477,0.876319
1752076337976,338,27.3373,0.889636
1752076338036,343,26.9388,0.812513
1752076338102,344,26.8605,0.701822
1752076338160,349,26.4756,0.763705
1752076338221,357,25.8824,0.871863
1752076338280,360,25.6667,0.866688
1752076338340,360,25.6667,0.841445
1752076338400,363,25.4545,0.860014
1752076338460,365,25.3151,0.718256
1752076338520,366,25.2459,0.854285
1752076338580,366,25.2459,0.870517
1752076338640,365,25.3151,0.903061
1752076338700,361,25.5956,0.90032
1752076338760,360,25.6667,0.870184
1752076338820,364,25.3846,0.91684
1752076338880,363,25.4545,0.878248
1752076338940,359,25.7382,0.919945
1752076339001,355,26.0282,0.927274
1752076339060,348,26.5517,0.910944
1752076339120,328,28.1707,0.891065
1752076339180,314,29.4268,0.911102
1752076339240,299,30.903,0.908686
1752076339300,288,32.0833,0.916126
1752076339360,277,33.3574,0.918239
1752076339420,271,34.0959,0.920247
1752076339480,263,35.1331,0.919551
1752076339540,252,36.6667,0.906729
1752076339600,239,38.6611,0.904601
1752076339660,232,39.8276,0.915481
1752076339726,223,41.435,0.919201
1752076339784,223,41.435,0.922425
1752076339845,221,41.81,0.916219
1752076339904,220,42,0.915222
